scraped_at,scrape_date,store_name,food_group,search_term,preferred_brand,product_name,brand,current_price_eur,previous_price_eur,currency,unit_price_value_eur,unit_price_text,package_text,quantity_value,quantity_unit,has_discount,discount_percent,discount_text,promotion_type,promotion_condition,parser,search_url,source_product_url,notes
2026-03-26T15:57:14+0100,2026-03-26,Hofer,Kaffee,Kaffee Crema,Eigenmarke,BARISSIMO Crema Intenso,BARISSIMO,5.49,,EUR,,,500 g Günstiger seit 24.10.2025,500,g,FALSE,,,,,hofer,https://www.hofer.at/de/p.barissimo-crema-intenso.000000000000567058.html,https://www.hofer.at/de/p.barissimo-crema-intenso.000000000000567058.html,Ganze Bohne wenn verfuegbar
2026-03-26T15:57:16+0100,2026-03-26,Hofer,Karotten,Karotten,Eigenmarke,"ZURÜCK ZUM URSPRUNG Gemüsesaft, Karottensaft",,1.99,,EUR,,,"per Stück (1 L = € 2,65 )",1,l,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Karotten,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:57:16+0100,2026-03-26,Hofer,Karotten,Karotten,Eigenmarke,"NATURE'S GOLD Sologemüse, Babykarotten",,1.99,,EUR,,,"per Beutel (1 per Kilogramm = € 2,65 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Karotten,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:57:16+0100,2026-03-26,Hofer,Karotten,Karotten,Eigenmarke,"ZURÜCK ZUM URSPRUNG Gemüsesaft, Karotten-/Apfel-/Selleriesaft",,1.99,,EUR,,,"per Stück (1 L = € 2,65 )",1,l,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Karotten,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:57:16+0100,2026-03-26,Hofer,Karotten,Karotten,Eigenmarke,"KINGS CROWN Salatspezialitäten, Karotten-Sellerie Salat",,2.25,,EUR,,,"per Stück (1 kg Abtr.G. = € 6,25 )",1,kg,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Karotten,,1 kg oder Standardgebinde bevorzugt
2026-03-26T15:57:18+0100,2026-03-26,Hofer,Kartoffeln,Kartoffeln,Eigenmarke,BACKBOX Kartoffelweckerl,,0.79,,EUR,,,per Stück,,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Kartoffeln,,mehlig oder festkochend falls Standard
2026-03-26T15:57:18+0100,2026-03-26,Hofer,Kartoffeln,Kartoffeln,Eigenmarke,Pflanzkartoffeln für den Eigenanbau,,3.49,,EUR,,,per Stück,,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Kartoffeln,,mehlig oder festkochend falls Standard
2026-03-26T15:57:18+0100,2026-03-26,Hofer,Kartoffeln,Kartoffeln,Eigenmarke,"SNACK FUN Kartoffelsticks, Paprika",,0.99,,EUR,,,"per Packung (100 per Gramm = € 0,79 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Kartoffeln,,mehlig oder festkochend falls Standard
2026-03-26T15:57:18+0100,2026-03-26,Hofer,Kartoffeln,Kartoffeln,Eigenmarke,"SNACK FUN Kartoffelsticks, Salz",,0.99,,EUR,,,"per Packung (100 per Gramm = € 0,79 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Kartoffeln,,mehlig oder festkochend falls Standard
2026-03-26T15:57:18+0100,2026-03-26,Hofer,Kartoffeln,Kartoffeln,Eigenmarke,"SNACK FUN Kartoffelsticks, Sour Cream",,0.99,,EUR,,,"per Packung (100 per Gramm = € 0,79 )",,,FALSE,,,,,hofer,https://www.hofer.at/de/suchergebnis/produkte.html?search=Kartoffeln,,mehlig oder festkochend falls Standard
